Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_20,MA_30,MA_50,High_52w,Low_52w
2024-04-01,709.5878149173326,717.2774734382766,708.4197572494843,715.67138671875,25199570.0,0.8573,715.67,715.67,715.67,715.67,717.28,708.42
2024-04-02,713.0676337207477,727.5221766350272,712.1429189199621,720.367919921875,41225446.0,1.0238,718.02,718.02,718.02,718.02,727.52,708.42
2024-04-03,716.450076374618,727.9115494819865,716.109420115624,721.414306640625,45584386.0,0.6929,719.15,719.15,719.15,719.15,727.91,708.42
2024-04-04,731.9753490842609,744.62917825726,731.9753490842609,743.4611206054688,88935066.0,1.5691,725.23,725.23,725.23,725.23,744.63,708.42
2024-04-05,749.0093625181328,756.5529915753328,744.7022055513205,754.1439208984375,59055902.0,0.6855,731.01,731.01,731.01,731.01,756.55,708.42
2024-04-08,756.7719438017782,757.891344732456,750.2504026191882,752.7081298828125,20482940.0,-0.537,734.63,734.63,734.63,734.63,757.89,708.42
2024-04-09,756.7233723625303,756.7233723625303,749.64212991684,753.6572875976562,21884494.0,-0.4052,737.35,737.35,737.35,737.35,757.89,708.42
2024-04-10,754.3142814277871,754.3142814277871,746.0649220391629,747.7196655273438,27807400.0,-0.8743,741.92,738.64,738.64,738.64,757.89,708.42
2024-04-12,740.2489501526853,744.5561067183442,736.574449351488,739.251220703125,41084208.0,-0.1348,744.62,738.71,738.71,738.71,757.89,708.42
2024-04-15,728.8362596129997,734.8954733611977,726.1594880212867,727.4491577148438,23415248.0,-0.1903,745.48,737.58,737.58,737.58,757.89,708.42
2024-04-16,723.7016987771374,736.3068713842836,721.3899415012858,734.5304565429688,20744886.0,1.4963,744.21,737.31,737.31,737.31,757.89,708.42
2024-04-18,734.7981599763604,739.2026303131596,725.6728022773389,727.4491577148438,34234884.0,-1.0001,740.4,736.49,736.49,736.49,757.89,708.42
2024-04-19,723.4827148610226,747.0382572891224,720.4165709168466,745.2619018554688,34576434.0,3.0103,739.33,737.16,737.16,737.16,757.89,708.42
2024-04-22,757.9643557818745,757.9643557818745,734.0680986992392,735.9661254882812,42298438.0,-2.9023,736.8,737.08,737.08,737.08,757.96,708.42
2024-04-23,742.8284760660457,742.9257894510552,731.6103458842442,733.7274169921875,26827060.0,-1.2252,734.81,736.85,736.85,736.85,757.96,708.42
2024-04-24,737.3288649584306,740.613993564681,734.4331086916868,735.7227783203125,22441580.0,-0.2178,734.3,736.78,736.78,736.78,757.96,708.42
2024-04-25,733.0704121681982,739.616311752735,733.0704121681982,735.260498046875,35445204.0,0.2988,735.42,736.69,736.69,736.69,757.96,708.42
2024-04-26,739.6650141563123,743.6558134751455,732.729742335618,734.7981567382812,24854694.0,-0.658,735.46,736.59,736.59,736.59,757.96,708.42
2024-04-29,737.3289207914913,746.7949349875348,733.216449914726,744.3858642578125,36093350.0,0.9571,737.87,737.0,737.0,737.0,757.96,708.42
2024-04-30,744.2398024289921,749.2526892649995,737.2802320622603,739.8109741210938,52307382.0,-0.5951,737.1,737.14,737.14,737.14,757.96,708.42
2024-05-02,740.7357142083232,748.0360004850149,739.9326708359107,745.7242431640625,33475006.0,0.6735,738.49,738.64,737.55,737.55,757.96,708.42
2024-05-03,746.2108990812835,749.7880273318675,733.5327119903678,739.567626953125,31865242.0,-0.8903,739.32,739.6,737.64,737.64,757.96,708.42
