Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_20,MA_30,MA_50,High_52w,Low_52w
2024-04-01,2181.9616233862357,2205.9920377407097,2174.271890792804,2197.244873046875,1427873,0.7004,2197.24,2197.24,2197.24,2197.24,2205.99,2174.27
2024-04-02,2208.8762010449564,2208.8762010449564,2188.7387560681905,2198.014404296875,1221495,-0.4917,2197.63,2197.63,2197.63,2197.63,2208.88,2174.27
2024-04-03,2193.3525442908262,2193.3525442908262,2173.359188870415,2177.34814453125,1175309,-0.7297,2190.87,2190.87,2190.87,2190.87,2208.88,2173.36
2024-04-04,2181.961857169728,2193.496457295735,2162.0166111185067,2177.107666015625,1890255,-0.2225,2187.43,2187.43,2187.43,2187.43,2208.88,2162.02
2024-04-05,2177.1078399295957,2192.054807387964,2170.5236459682587,2179.0302734375,1153449,0.0883,2185.75,2185.75,2185.75,2185.75,2208.88,2162.02
2024-04-08,2188.6904782733186,2200.1769711787706,2179.2705074534983,2180.95263671875,1127294,-0.3535,2184.95,2184.95,2184.95,2184.95,2208.88,2162.02
2024-04-09,2182.9230510856314,2186.3835249561675,2168.2644969116745,2176.338623046875,1189343,-0.3016,2183.72,2183.72,2183.72,2183.72,2208.88,2162.02
2024-04-10,2188.5940657934834,2188.5940657934834,2170.1387533069596,2173.214599609375,2308993,-0.7027,2180.29,2182.41,2182.41,2182.41,2208.88,2162.02
2024-04-12,2173.2147783557252,2177.011772119853,2142.1676661805636,2145.72412109375,3388551,-1.265,2172.82,2178.33,2178.33,2178.33,2208.88,2142.17
2024-04-15,2141.3023671874134,2141.350474956183,2105.064545013597,2108.95751953125,4909564,-1.5105,2163.05,2171.39,2171.39,2171.39,2208.88,2105.06
2024-04-16,2098.336126600455,2144.714833933699,2087.810850316233,2134.670166015625,2821129,1.7316,2156.98,2168.05,2168.05,2168.05,2208.88,2087.81
2024-04-18,2129.1431362105322,2150.9146009846795,2123.3758359077597,2128.90283203125,3392171,-0.0113,2149.82,2164.79,2164.79,2164.79,2208.88,2087.81
2024-04-19,2133.9008191335524,2156.7297130319407,2110.831621088865,2145.051025390625,2337694,0.5225,2144.69,2163.27,2163.27,2163.27,2208.88,2087.81
2024-04-22,2162.7374802639833,2166.149846333918,2142.600038215488,2154.567138671875,1804108,-0.3778,2141.58,2162.65,2162.65,2162.65,2208.88,2087.81
2024-04-23,2165.62130090943,2185.326243949218,2161.4880220203318,2174.9931640625,1991778,0.4328,2141.84,2163.47,2163.47,2163.47,2208.88,2087.81
2024-04-24,2178.1649470249645,2180.375792163384,2158.555987368747,2172.58984375,1404398,-0.256,2145.68,2164.04,2164.04,2164.04,2208.88,2087.81
2024-04-25,2151.251035420177,2152.981272376825,2129.1911595710244,2144.330322265625,4951866,-0.3217,2150.73,2162.88,2162.88,2162.88,2208.88,2087.81
2024-04-26,2157.931283085826,2167.543449157478,2132.5552585254745,2136.447998046875,2307512,-0.9956,2150.98,2161.42,2161.42,2161.42,2208.88,2087.81
2024-04-29,2147.3581667069893,2147.3581667069893,2133.901132537832,2139.7646484375,1395292,-0.3536,2152.53,2160.28,2160.28,2160.28,2208.88,2087.81
2024-04-30,2145.4838414125384,2153.3657716357725,2138.7072165560066,2143.94580078125,2119102,-0.0717,2152.38,2159.46,2159.46,2159.46,2208.88,2087.81
2024-05-02,2119.530690414858,2156.201009483979,2119.530690414858,2139.95654296875,2140383,0.9637,2150.29,2156.6,2158.53,2158.53,2208.88,2087.81
2024-05-03,2145.4355717304093,2148.9439186486993,2118.521505418379,2131.0654296875,2595307,-0.6698,2144.01,2153.25,2157.28,2157.28,2208.88,2087.81
2024-05-06,2138.7071080718874,2173.7915168110444,2126.211291260681,2168.697021484375,1619256,1.4022,2143.46,2152.82,2157.78,2157.78,2208.88,2087.81
2024-05-07,2178.1170177945423,2296.9234944521527,2171.3885009699343,2287.118896484375,8277810,5.0044,2163.86,2158.32,2163.17,2163.17,2296.92,2087.81
2024-05-08,2274.623049604483,2280.246261031328,2234.8287730626357,2250.25634765625,1813439,-1.0712,2180.11,2161.88,2166.65,2166.65,2296.92,2087.81
2024-05-09,2249.823499834582,2270.4896551914408,2229.4936294593995,2235.453125,1558987,-0.6387,2193.78,2164.6,2169.3,2169.3,2296.92,2087.81
2024-05-10,2230.9840057951815,2279.0448417666416,2230.9840057951815,2270.922607421875,2610266,1.7902,2211.92,2169.33,2173.06,2173.06,2296.92,2087.81
2024-05-13,2281.928283164871,2289.2814965269827,2256.840435214087,2269.095947265625,1170617,-0.5623,2230.37,2174.13,2176.49,2176.49,2296.92,2087.81
2024-05-14,2269.0479919382315,2280.294179184719,2255.735048205718,2258.474609375,689430,-0.466,2248.57,2179.76,2179.32,2179.32,2296.92,2087.81
2024-05-15,2258.4267627990944,2264.4343672229857,2227.763809016323,2233.19482421875,812282,-1.1172,2257.79,2185.97,2181.11,2181.11,2296.92,2087.81
2024-05-16,2246.363269783034,2257.032868270841,2212.095990708857,2252.274658203125,1880021,0.2632,2252.81,2191.86,2182.95,2183.41,2296.92,2087.81
