Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_20,MA_30,MA_50,High_52w,Low_52w
2024-04-01,1078.3740966909645,1085.162724605495,1076.7998037410023,1081.916015625,10848191,0.3284,1081.92,1081.92,1081.92,1081.92,1085.16,1076.8
2024-04-02,1076.7997448394613,1076.7997448394613,1061.844923446375,1063.763427734375,14380396,-1.2107,1072.84,1072.84,1072.84,1072.84,1085.16,1061.84
2024-04-03,1057.663530257279,1066.1740561722456,1054.9578793659232,1059.8280029296875,15477184,0.2046,1068.5,1068.5,1068.5,1068.5,1085.16,1054.96
2024-04-04,1067.2562910312008,1068.2894057744195,1046.2997470246664,1061.451416015625,21419689,-0.5439,1066.74,1066.74,1066.74,1066.74,1085.16,1046.3
2024-04-05,1052.7441775200211,1068.4861465296663,1050.235253168432,1065.9281005859375,15340637,1.2523,1066.58,1066.58,1066.58,1066.58,1085.16,1046.3
2024-04-08,1060.9594232885527,1074.1433454810406,1058.9425557038237,1069.6175537109375,8023461,0.8161,1067.08,1067.08,1067.08,1067.08,1085.16,1046.3
2024-04-09,1074.3401972621416,1097.264488826385,1070.749156482513,1089.19677734375,12298463,1.3829,1070.24,1070.24,1070.24,1070.24,1097.26,1046.3
2024-04-10,1093.0337202336968,1098.5435054120717,1087.3273285870816,1091.5087890625,10598000,-0.1395,1071.61,1072.9,1072.9,1072.9,1098.54,1046.3
2024-04-12,1085.703967727192,1093.9192841060571,1078.1281928847723,1086.5894775390625,12216657,0.0816,1074.87,1074.42,1074.42,1074.42,1098.54,1046.3
2024-04-15,1082.4570746408115,1088.3111913118553,1059.2376948297706,1060.95947265625,10526597,-1.986,1075.04,1073.08,1073.08,1073.08,1098.54,1046.3
2024-04-16,1053.2852301148173,1057.2698434841036,1045.5617314093265,1049.8416748046875,11278092,-0.3269,1073.38,1070.96,1070.96,1070.96,1098.54,1045.56
2024-04-18,1056.6796031480021,1060.664336843005,1033.5093459321554,1038.4287109375,16564216,-1.7272,1069.45,1068.25,1068.25,1068.25,1098.54,1033.51
2024-04-19,1035.9690203029174,1054.7118488668307,1031.1972603055262,1050.0384521484375,11284433,1.3581,1066.65,1066.85,1066.85,1066.85,1098.54,1031.2
2024-04-22,1061.4022313877736,1071.1424779233496,1053.0884325476727,1069.1256103515625,10346714,0.7277,1063.78,1067.01,1067.01,1067.01,1098.54,1031.2
