Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_20,MA_30,MA_50,High_52w,Low_52w
2024-04-01,731.8359644474378,734.1981369990166,725.1351292346699,731.1128540039062,9949971,-0.0988,731.11,731.11,731.11,731.11,734.2,725.14
2024-04-02,731.0164660314755,741.1882078791733,726.3403165012812,738.9224853515625,15713063,1.0815,735.02,735.02,735.02,735.02,741.19,725.14
2024-04-03,737.4762306009072,744.9001171021469,732.8965313153205,743.4057006835938,19136981,0.804,737.81,737.81,737.81,737.81,744.9,725.14
2024-04-04,747.2141506069232,747.5033830248789,730.9200378484845,732.0770263671875,15889530,-2.0258,736.38,736.38,736.38,736.38,747.5,725.14
2024-04-05,730.7754145215962,740.1758501398218,725.6171914639816,737.3316040039062,9939620,0.8972,736.57,736.57,736.57,736.57,747.5,725.14
2024-04-08,738.5850021452578,742.3933956194346,734.4873762603453,740.7543334960938,9797174,0.2937,737.27,737.27,737.27,737.27,747.5,725.14
2024-04-09,740.8990176998179,744.7556069687643,733.8124996099999,736.8013916015625,7465892,-0.5531,737.2,737.2,737.2,737.2,747.5,725.14
2024-04-10,739.0188603767406,752.7097629710994,736.2710642780829,751.118896484375,14530669,1.6373,740.06,738.94,738.94,738.94,752.71,725.14
2024-04-12,749.3834123957522,751.5527435992136,737.3797679672235,738.8259887695312,14408722,-1.4088,740.04,738.93,738.93,738.93,752.71,725.14
2024-04-15,732.5590796729715,735.9335950981468,721.9052641714367,730.341552734375,11356572,-0.3027,738.18,738.07,738.07,738.07,752.71,721.91
2024-04-16,724.315633679616,727.8347947397396,717.7112484453821,724.74951171875,13338991,0.0599,737.13,736.86,736.86,736.86,752.71,717.71
2024-04-18,725.0869303823578,732.7037172254089,715.3972622519597,718.0968627929688,14589648,-0.964,734.38,735.29,735.29,735.29,752.71,715.4
2024-04-19,708.166151201757,725.0387279832828,705.8039786829678,723.5443115234375,10886554,2.1715,731.93,734.39,734.39,734.39,752.71,705.8
2024-04-22,727.1116662441453,741.4292292520696,723.5443096786286,738.6331787109375,17452186,1.5846,732.19,734.69,734.69,734.69,752.71,705.8
2024-04-23,742.7308138738571,749.8173315016863,738.1029188222026,745.2858276367188,12292429,0.344,731.35,735.4,735.4,735.4,752.71,705.8
2024-04-24,750.5886207443748,750.5886207443748,742.5862104814081,745.3822021484375,7842615,-0.6936,732.29,736.02,736.02,736.02,752.71,705.8
2024-04-25,743.0201189674838,785.2015621323537,742.0559716951439,783.5625,36732974,5.4564,739.89,738.82,738.82,738.82,785.2,705.8
