Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_20,MA_30,MA_50,High_52w,Low_52w
2024-04-01,226.71034349019942,227.97582573288165,225.70262639050296,227.2962188720703,6041008,0.2584,227.3,227.3,227.3,227.3,227.98,225.7
2024-04-02,225.89012998416928,226.24165523201043,224.7886813468805,225.53860473632812,6932654,-0.1556,226.42,226.42,226.42,226.42,227.98,224.79
2024-04-03,224.976151195396,228.58514934226153,223.07792064112422,226.4759979248047,13794516,0.6667,226.44,226.44,226.44,226.44,228.59,223.08
2024-04-04,227.69461092511693,230.57712935106778,224.78867750808175,228.4445343017578,16004046,0.3294,226.94,226.94,226.94,226.94,230.58,223.08
2024-04-05,228.02271508554298,228.32736744538963,226.17134302373762,227.3430938720703,6414344,-0.298,227.02,227.02,227.02,227.02,230.58,223.08
2024-04-08,229.66315149608945,230.41307485149022,224.13249356925562,224.9292755126953,26640770,-2.0612,226.67,226.67,226.67,226.67,230.58,223.08
2024-04-09,226.82753331682247,227.43683803215106,222.72640537703612,223.0076141357422,15801250,-1.6841,226.15,226.15,226.15,226.15,230.58,222.73
2024-04-10,223.80439336449498,224.71836467140176,221.74211490415954,223.7106475830078,10771534,-0.0419,225.64,225.84,225.84,225.84,230.58,221.74
2024-04-12,222.63266248900524,224.97616419941582,220.28916077859466,220.64068603515625,13170046,-0.8947,224.94,225.27,225.27,225.27,230.58,220.29
2024-04-15,218.62526033742628,219.51578804540725,214.7584828680686,215.2974853515625,12176472,-1.5221,223.34,224.27,224.27,224.27,230.58,214.76
2024-04-16,212.34466751994407,214.89908990436874,208.47789000258084,210.14178466796875,21439424,-1.0374,220.72,222.98,222.98,222.98,230.58,208.48
2024-04-18,212.0868876507413,213.4695592695721,207.56393257592578,208.26698303222656,21986258,-1.8011,218.0,221.76,221.76,221.76,230.58,207.56
2024-04-19,206.22814193211624,212.74307355516106,204.82204096439725,212.20407104492188,20470106,2.8977,216.18,221.02,221.02,221.02,230.58,204.82
2024-04-22,212.20407276236133,218.48465427495057,210.9151468648539,216.53955078125,18881740,2.0431,215.26,220.7,220.7,220.7,230.58,204.82
2024-04-23,218.78929334045404,218.78929334045404,215.69588281716167,216.58641052246094,10322712,-1.0069,214.24,220.43,220.43,220.43,230.58,204.82
2024-04-24,217.43008394483687,217.78160919834875,214.94597787479248,215.55528259277344,5915168,-0.8623,213.51,220.12,220.12,220.12,230.58,204.82
2024-04-25,215.08658821856173,216.7973416390346,213.63361426970545,216.07086181640625,11805090,0.4576,213.62,219.89,219.89,219.89,230.58,204.82
2024-04-26,216.49266691366904,223.0075982591932,216.35206254432603,217.75816345214844,21478294,0.5845,214.71,219.77,219.77,219.77,230.58,204.82
2024-04-29,219.18768499921092,219.35173295936585,216.35205400183762,216.98480224609375,7249940,-1.005,215.96,219.62,219.62,219.62,230.58,204.82
2024-04-30,217.0082585886953,218.76588487316099,216.30520807490902,216.72703552246094,8902956,-0.1296,216.6,219.48,219.48,219.48,230.58,204.82
2024-05-02,216.72701590478897,217.00823894556763,213.46955740126376,214.38351440429688,14937276,-1.0813,216.3,218.83,219.23,219.23,230.58,204.82
2024-05-03,215.7896377645251,216.5395611834561,212.41500383473485,214.360107421875,9730626,-0.6625,215.98,218.27,219.01,219.01,230.58,204.82
2024-05-06,215.03969305379218,216.82076278535357,213.72733792830323,214.96939086914062,6918126,-0.0327,215.89,217.7,218.84,218.84,230.58,204.82
2024-05-07,216.44579546696352,218.10969013448153,212.78993880367014,217.43006896972656,9278528,0.4547,216.09,217.15,218.78,218.78,230.58,204.82
2024-05-08,217.9456445843357,218.6018221589237,216.21144771244036,217.10198974609375,8205680,-0.3871,215.99,216.63,218.71,218.71,230.58,204.82
2024-05-09,216.42238079150374,217.664433824877,212.8133824721332,213.68048095703125,9233484,-1.2669,215.52,216.07,218.52,218.52,230.58,204.82
2024-05-10,213.7507899778814,214.43041121026087,211.0557629517415,211.78225708007812,6654714,-0.9209,214.82,215.51,218.27,218.27,230.58,204.82
2024-05-13,211.78222867283012,212.43840621741535,208.5716288290123,211.8291015625,7111608,0.0221,214.45,214.92,218.04,218.04,230.58,204.82
2024-05-14,212.18063467978845,215.55526830770268,211.94628452631116,213.89138793945312,4909420,0.8063,214.38,214.58,217.89,217.89,230.58,204.82
2024-05-15,213.89138661717723,215.48496479025175,213.0945903788409,214.8053436279297,4793424,0.4273,214.36,214.55,217.79,217.79,230.58,204.82
2024-05-16,216.5395447220328,219.11739644491414,213.77421573457067,217.6878662109375,14621472,0.5303,214.4,214.93,217.47,217.79,230.58,204.82
2024-05-17,217.66444014912622,217.66444014912622,215.6255907615053,216.07086181640625,6876820,-0.7321,214.25,215.32,217.16,217.73,230.58,204.82
2024-05-21,217.00824507635056,217.85189991892292,215.46153976376843,216.0239715576172,8467448,-0.4536,214.58,215.51,216.81,217.68,230.58,204.82
2024-05-22,216.96136437511018,217.21915812032728,215.06313389584702,216.21144104003906,7765884,-0.3456,215.22,215.5,216.4,217.64,230.58,204.82
2024-05-23,216.77389708893222,219.35174883809788,216.4223718504096,218.3206024169922,13171332,0.7135,216.14,215.58,216.1,217.66,230.58,204.82
2024-05-24,218.88304563393268,220.52349672540754,216.53954407468288,217.31289672851562,8205526,-0.7173,216.63,215.67,215.85,217.65,230.58,204.82
2024-05-27,216.53954354958444,216.6098457354718,211.6650631788849,212.06346130371094,40983758,-2.0671,216.24,215.47,215.48,217.5,230.58,204.82
2024-05-28,212.78994825026973,214.31322431153265,212.36812081710127,213.7507781982422,15778126,0.4515,215.68,215.27,215.15,217.4,230.58,204.82
2024-05-29,212.7899314870875,213.4929819215162,210.68078018380137,211.2900848388672,9756036,-0.7048,215.0,214.98,214.84,217.24,230.58,204.82
2024-05-30,210.44644774562443,210.68079791015185,203.93151603248188,204.79861450195312,20724568,-2.6837,213.39,214.39,214.49,216.93,230.58,203.93
2024-05-31,205.0798243084693,207.23584869390075,204.11899435041784,205.38449096679688,21438004,0.1486,211.85,213.94,214.33,216.65,230.58,203.93
2024-06-03,211.00888554629688,211.17291921212257,206.95461641686776,208.14981079101562,8964424,-1.355,210.39,213.63,214.32,216.45,230.58,203.93
2024-06-04,208.99346561479234,208.99346561479234,195.4480295005349,205.3610382080078,17730732,-1.7381,208.69,213.15,214.1,216.19,230.58,195.45
2024-06-05,206.08752166290262,213.25863032377967,205.7828550338477,211.61817932128906,12267428,2.6836,208.62,212.86,213.93,216.09,230.58,195.45
2024-06-06,213.23523041422513,216.53956216741798,212.13378172862767,216.07086181640625,15425568,1.3298,208.95,212.81,213.91,216.09,230.58,195.45
2024-06-07,220.28915020241553,227.97583258280136,219.49235393769075,227.10873413085938,72672440,3.0957,211.21,213.48,214.3,216.33,230.58,195.45
2024-06-10,228.9132386409775,228.9132386409775,221.8593043857575,222.7498321533203,18311752,-2.6925,213.78,214.02,214.52,216.46,230.58,195.45
2024-06-11,224.6012038593448,224.6012038593448,222.32800439810572,223.12478637695312,9371714,-0.6574,216.31,214.59,214.7,216.6,230.58,195.45
2024-06-12,224.03875130950746,227.0384304746891,222.89042981252769,223.52317810058594,13875116,-0.2301,218.51,215.07,214.92,216.74,230.58,195.45
2024-06-13,224.97615474346927,227.48370432893392,224.1090562863424,226.1947784423828,12995932,0.5417,221.48,215.64,215.23,216.93,230.58,195.45
2024-06-14,227.3196499010655,227.6008729472298,223.19509290265046,223.8043975830078,11322596,-1.5464,223.23,215.95,215.55,216.86,230.58,195.45
2024-06-18,225.44485678144505,231.06926069283247,224.99958575035404,230.53025817871094,31870984,2.2557,225.29,216.67,216.09,216.96,231.07,195.45
2024-06-19,230.7177185350996,233.01434710317028,228.1398669313555,232.35816955566406,20880284,0.711,226.04,217.49,216.67,217.08,233.01,195.45
2024-06-20,233.17839133280856,233.17839133280856,228.84291370501262,229.85061645507812,12571126,-1.4271,227.06,218.17,217.08,217.11,233.18,195.45
2024-06-21,233.3893381448135,234.7954391534893,229.24133730850002,229.9209442138672,95171176,-1.4861,228.03,218.75,217.51,217.16,234.8,195.45
2024-06-24,229.71003764472528,231.95979353716695,229.40538528689868,229.9209442138672,9934518,0.0918,228.94,219.38,218.05,217.26,234.8,195.45
2024-06-25,229.92092828350803,233.41275126789063,229.33505290381956,232.87374877929688,9258210,1.2843,229.89,220.42,218.75,217.46,234.8,195.45
2024-06-26,232.873755494802,234.30328574102677,231.4442109449787,232.10040283203125,12812090,-0.3321,231.08,221.34,219.43,217.62,234.8,195.45
2024-06-27,230.67086627460867,239.951141460201,229.28820887292332,239.41212463378906,42137138,3.7895,232.35,222.74,220.28,218.0,239.95,195.45
2024-06-28,239.97456404050502,241.98996969674948,237.09205993081633,241.3103485107422,16405832,0.5566,233.63,224.57,221.16,218.52,241.99,195.45
2024-07-01,242.73990284115155,251.12962125518663,240.95881877116275,247.16909790039062,30757528,1.8247,236.1,226.66,222.15,219.26,251.13,195.45
2024-07-02,248.08305732644698,255.44165758756452,247.6143570372955,252.25450134277344,36276968,1.6815,239.29,228.86,223.35,220.14,255.44,195.45
2024-07-03,253.9886978462836,255.652578149447,250.98900455623476,252.62945556640625,16049384,-0.5352,242.54,231.23,224.57,220.95,255.65,195.45
2024-07-04,253.75437236846525,257.22273767708566,247.9893353722806,248.73927307128906,19524632,-1.9764,244.8,233.08,225.66,221.59,257.22,195.45
2024-07-05,249.04388758482523,251.45770552058508,248.1533741983706,250.801513671875,10376090,0.7057,247.47,234.82,226.74,222.28,257.22,195.45
2024-07-08,251.19995249189395,254.50428416150137,250.75468144825643,253.66062927246094,12176360,0.9796,249.51,236.15,227.95,223.04,257.22,195.45
